target,method,coverage,mean_width,computation_seconds
n_patients,GP baseline,0.885,39.28585005691839,11.464840173721313
n_patients,Standard CP,0.921,43.62303920558311,0.011594295501708984
n_patients,Mondrian CP,0.917,43.52729659824559,0.011301755905151367
mean_wait_minutes,GP baseline,0.877,43.580164851458655,7.126748561859131
mean_wait_minutes,Standard CP,0.89,47.15513462696662,0.009232044219970703
mean_wait_minutes,Mondrian CP,0.914,40.145275696251055,0.010521173477172852
mean_total_minutes,GP baseline,0.888,43.437664018877285,6.951582431793213
mean_total_minutes,Standard CP,0.902,46.38626450713109,0.009175539016723633
mean_total_minutes,Mondrian CP,0.918,45.459673457799816,0.009937763214111328
p95_wait_minutes,GP baseline,0.901,350.34159572055484,7.054800987243652
p95_wait_minutes,Standard CP,0.908,362.86425054022,0.008811712265014648
p95_wait_minutes,Mondrian CP,0.913,314.1927004216115,0.01129603385925293
