target,category,n_cal,n_test,pooled_coverage,pooled_width,mondrian_coverage,mondrian_width
n_patients,staff=High/arrival=High,126,142,0.8732394366197183,43.6230392055831,0.9507042253521126,53.800156509637986
n_patients,staff=High/arrival=Low,136,118,0.8813559322033898,43.6230392055831,0.8898305084745762,47.0819378512316
n_patients,staff=High/arrival=Med,157,105,0.8952380952380953,43.6230392055831,0.9238095238095239,49.994622023746956
n_patients,staff=Low/arrival=High,132,88,0.9886363636363636,43.6230392055831,0.9659090909090909,34.97547218195592
n_patients,staff=Low/arrival=Low,128,117,0.9487179487179487,43.6230392055831,0.8803418803418803,34.2199162102271
n_patients,staff=Low/arrival=Med,121,100,0.97,43.6230392055831,0.87,29.08288849925816
n_patients,staff=Med/arrival=High,142,114,0.8947368421052632,43.6230392055831,0.8333333333333334,38.03797138230266
n_patients,staff=Med/arrival=Low,136,109,0.944954128440367,43.6230392055831,0.9724770642201835,49.5476885183632
n_patients,staff=Med/arrival=Med,122,107,0.9252336448598131,43.6230392055831,0.9719626168224299,50.0531122459779
mean_wait_minutes,staff=High/arrival=High,126,142,0.9507042253521126,47.15513462696663,0.9225352112676056,39.06116442204497
mean_wait_minutes,staff=High/arrival=Low,136,118,1.0,47.15513462696663,0.9491525423728814,2.0409402582247202
mean_wait_minutes,staff=High/arrival=Med,157,105,0.9904761904761905,47.15513462696663,0.8857142857142857,6.488371176763353
mean_wait_minutes,staff=Low/arrival=High,132,88,0.6818181818181818,47.15513462696663,0.9090909090909091,65.36849213565793
mean_wait_minutes,staff=Low/arrival=Low,128,117,0.8290598290598291,47.15513462696663,0.8547008547008547,51.017648056103525
mean_wait_minutes,staff=Low/arrival=Med,121,100,0.79,47.15513462696663,0.98,65.23262040305423
mean_wait_minutes,staff=Med/arrival=High,142,114,0.8771929824561403,47.15513462696663,0.8859649122807017,48.551714270247395
mean_wait_minutes,staff=Med/arrival=Low,136,109,0.9174311926605505,47.15513462696663,0.8990825688073395,40.202562449409925
mean_wait_minutes,staff=Med/arrival=Med,122,107,0.9065420560747663,47.15513462696663,0.9439252336448598,51.53973382886619
mean_total_minutes,staff=High/arrival=High,126,142,0.9366197183098591,46.3862645071311,0.9154929577464789,44.461423510606494
mean_total_minutes,staff=High/arrival=Low,136,118,1.0,46.3862645071311,0.9576271186440678,16.84200858629896
mean_total_minutes,staff=High/arrival=Med,157,105,0.9904761904761905,46.3862645071311,0.8761904761904762,19.79506618060981
mean_total_minutes,staff=Low/arrival=High,132,88,0.8068181818181818,46.3862645071311,0.9204545454545454,58.49960038487143
mean_total_minutes,staff=Low/arrival=Low,128,117,0.8547008547008547,46.3862645071311,0.8803418803418803,50.8779619563706
mean_total_minutes,staff=Low/arrival=Med,121,100,0.82,46.3862645071311,0.97,69.99275274060824
mean_total_minutes,staff=Med/arrival=High,142,114,0.8596491228070176,46.3862645071311,0.868421052631579,47.77924002229673
mean_total_minutes,staff=Med/arrival=Low,136,109,0.908256880733945,46.3862645071311,0.9174311926605505,50.04393166237128
mean_total_minutes,staff=Med/arrival=Med,122,107,0.9065420560747663,46.3862645071311,0.9626168224299065,56.810549407301096
p95_wait_minutes,staff=High/arrival=High,126,142,0.9647887323943662,362.8642505402199,0.9295774647887324,305.55059761696214
p95_wait_minutes,staff=High/arrival=Low,136,118,1.0,362.8642505402199,0.923728813559322,16.820300963287266
p95_wait_minutes,staff=High/arrival=Med,157,105,0.9904761904761905,362.8642505402199,0.8761904761904762,41.5096662750965
p95_wait_minutes,staff=Low/arrival=High,132,88,0.7272727272727273,362.8642505402199,0.9204545454545454,650.914827599725
p95_wait_minutes,staff=Low/arrival=Low,128,117,0.8461538461538461,362.8642505402199,0.8632478632478633,379.3970293179441
p95_wait_minutes,staff=Low/arrival=Med,121,100,0.78,362.8642505402199,0.92,495.1645105698111
p95_wait_minutes,staff=Med/arrival=High,142,114,0.9210526315789473,362.8642505402199,0.9298245614035088,375.5793272719261
p95_wait_minutes,staff=Med/arrival=Low,136,109,0.944954128440367,362.8642505402199,0.908256880733945,285.06456840914365
p95_wait_minutes,staff=Med/arrival=Med,122,107,0.9345794392523364,362.8642505402199,0.9439252336448598,368.10014491492745
